"RealSetNum","RealRepNum","RepNum","Model","AgentStepTime","NumAgents","Neighbors","FractionInformed","AvoidRadius","AlignRadius","AttractRadius","AlignYIntercept","ObstacleRadius","ObsVisibility","TurnRate","AvoidWeight","AlignWeight","AttractWeight","ObstacleWeight","numCaught","MeanGoalTime","MedianGoalTime","NumSucceed","SuccessRate","meanPersY","meanPersX","flockingEscape","whichParam"
"100","21",14,0,0.1,10,7,1,1,5,10,0.6,1,1,2,0.1,10,1,1,9,239.224444444372,245.029999999922,9,1,11.8243691300369,20.4944020164292,1,"AvoidWeight"
"100","22",15,0,0.1,10,7,1,1,5,10,0.6,1,1,2,0.1,10,1,1,10,NA,NA,0,0,0.0485801945264399,4.10316494013991,0,"AvoidWeight"
"100","23",16,0,0.1,10,7,1,1,5,10,0.6,1,1,2,0.1,10,1,1,10,NA,NA,0,0,1.11338085773562,4.87715443266299,0,"AvoidWeight"
"100","24",17,0,0.1,10,7,1,1,5,10,0.6,1,1,2,0.1,10,1,1,10,NA,NA,0,0,1.20852909887423,4.72858551038987,0,"AvoidWeight"
"100","25",18,0,0.1,10,7,1,1,5,10,0.6,1,1,2,0.1,10,1,1,9,108.88111111113,108.900000000019,9,1,9.67930379186142,14.9584335385498,1,"AvoidWeight"
"100","26",19,0,0.1,10,7,1,1,5,10,0.6,1,1,2,0.1,10,1,1,10,90.0830000000092,90.0300000000092,10,1,13.8506460325249,21.0801637196425,1,"AvoidWeight"
"100","27",20,0,0.1,10,7,1,1,5,10,0.6,1,1,2,0.1,10,1,1,10,NA,NA,0,0,2.17703656936808,5.14959271365549,0,"AvoidWeight"
"100","28",21,0,0.1,10,7,1,1,5,10,0.6,1,1,2,0.1,10,1,1,10,NA,NA,0,0,0.82169588623006,5.082882274084,0,"AvoidWeight"
"100","29",22,0,0.1,10,7,1,1,5,10,0.6,1,1,2,0.1,10,1,1,10,NA,NA,0,0,1.54115094647282,4.81401228596498,0,"AvoidWeight"
"100","3",23,0,0.1,10,7,1,1,5,10,0.6,1,1,2,0.1,10,1,1,10,162.196249999965,217.919999999946,8,0.8,23.1991201807892,10.602966321008,1,"AvoidWeight"
"100","30",24,0,0.1,10,7,1,1,5,10,0.6,1,1,2,0.1,10,1,1,10,NA,NA,0,0,0.76447342685265,4.97831590015768,0,"AvoidWeight"
"100","31",25,0,0.1,10,7,1,1,5,10,0.6,1,1,2,0.1,10,1,1,10,NA,NA,0,0,2.23469329640199,5.94094117433736,0,"AvoidWeight"
"100","32",26,0,0.1,10,7,1,1,5,10,0.6,1,1,2,0.1,10,1,1,10,158.978,159.555,10,1,23.8435145022404,17.7611002930546,1,"AvoidWeight"
"100","33",27,0,0.1,10,7,1,1,5,10,0.6,1,1,2,0.1,10,1,1,10,NA,NA,0,0,5.46312604645046,6.9310697992703,0,"AvoidWeight"
"100","34",28,0,0.1,10,7,1,1,5,10,0.6,1,1,2,0.1,10,1,1,10,79.2230000000036,79.0700000000035,10,1,9.50110059329245,18.6844065933573,1,"AvoidWeight"
"100","35",29,0,0.1,10,7,1,1,5,10,0.6,1,1,2,0.1,10,1,1,10,NA,NA,0,0,1.47395240177796,5.00238394853769,0,"AvoidWeight"
"100","36",30,0,0.1,10,7,1,1,5,10,0.6,1,1,2,0.1,10,1,1,10,NA,NA,0,0,0.19176452789949,4.28294382317628,0,"AvoidWeight"
"100","37",31,0,0.1,10,7,1,1,5,10,0.6,1,1,2,0.1,10,1,1,10,NA,NA,0,0,0.41423338992129,4.38258608174852,0,"AvoidWeight"
"100","38",32,0,0.1,10,7,1,1,5,10,0.6,1,1,2,0.1,10,1,1,10,NA,NA,0,0,0.81246442151097,4.38700727324289,0,"AvoidWeight"
"100","39",33,0,0.1,10,7,1,1,5,10,0.6,1,1,2,0.1,10,1,1,10,NA,NA,0,0,1.41639039192382,5.04251271725819,0,"AvoidWeight"
"100","4",34,0,0.1,10,7,1,1,5,10,0.6,1,1,2,0.1,10,1,1,10,NA,NA,0,0,1.67235169636884,5.00502838551614,0,"AvoidWeight"
"100","40",35,0,0.1,10,7,1,1,5,10,0.6,1,1,2,0.1,10,1,1,10,NA,NA,0,0,0.76032540977606,4.73128477584249,0,"AvoidWeight"
"100","41",36,0,0.1,10,7,1,1,5,10,0.6,1,1,2,0.1,10,1,1,10,NA,NA,0,0,1.03226270026001,5.05065506329443,0,"AvoidWeight"
"100","42",37,0,0.1,10,7,1,1,5,10,0.6,1,1,2,0.1,10,1,1,10,NA,NA,0,0,1.9671425164685,5.35104699822389,0,"AvoidWeight"
"100","43",38,0,0.1,10,7,1,1,5,10,0.6,1,1,2,0.1,10,1,1,10,NA,NA,0,0,4.43198175227262,5.0800991567468,0,"AvoidWeight"
"100","44",39,0,0.1,10,7,1,1,5,10,0.6,1,1,2,0.1,10,1,1,10,NA,NA,0,0,0.69943950812385,5.01721076533566,0,"AvoidWeight"
"100","45",40,0,0.1,10,7,1,1,5,10,0.6,1,1,2,0.1,10,1,1,10,NA,NA,0,0,0.671374230628,4.61951554502634,0,"AvoidWeight"
"100","46",41,0,0.1,10,7,1,1,5,10,0.6,1,1,2,0.1,10,1,1,10,88.4670000000083,87.665000000008,10,1,12.2984936186786,18.4803530710407,1,"AvoidWeight"
"100","47",42,0,0.1,10,7,1,1,5,10,0.6,1,1,2,0.1,10,1,1,10,NA,NA,0,0,0.92904120782177,4.51163974567429,0,"AvoidWeight"
"100","48",43,0,0.1,10,7,1,1,5,10,0.6,1,1,2,0.1,10,1,1,10,NA,NA,0,0,0.93372942822112,4.97581661229069,0,"AvoidWeight"
"100","49",44,0,0.1,10,7,1,1,5,10,0.6,1,1,2,0.1,10,1,1,10,NA,NA,0,0,0.93685796166288,4.80634628553435,0,"AvoidWeight"
"100","5",45,0,0.1,10,7,1,1,5,10,0.6,1,1,2,0.1,10,1,1,10,NA,NA,0,0,1.83887689175215,5.57665216170527,0,"AvoidWeight"
"100","50",46,0,0.1,10,7,1,1,5,10,0.6,1,1,2,0.1,10,1,1,10,NA,NA,0,0,0.70863670823821,4.00614638519171,0,"AvoidWeight"
